Length (mm), TS (dB), L_TS (dB), U_TS (dB), Frequency (kHz), TS (dB), L_TS (dB), U_TS (dB), Incidence (deg), TS (dB), L_TS (dB), U_TS (dB), Body Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Body Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Swim Bladder Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB), Water Density (kg/m3), TS(dB), L_TS (dB), U_TS (dB), Water Sound Speed (m/s), TS(dB), L_TS (dB), U_TS (dB)
,,,,100.00,-43.78,-43.78,-43.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,101.00,-43.83,-43.83,-43.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,102.00,-46.16,-46.16,-46.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,103.00,-52.70,-52.70,-52.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,104.00,-62.89,-62.89,-62.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,105.00,-49.29,-49.29,-49.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,106.00,-45.73,-45.73,-45.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,107.00,-45.16,-45.16,-45.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,108.00,-47.09,-47.09,-47.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,109.00,-53.20,-53.20,-53.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,110.00,-63.11,-63.11,-63.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,111.00,-49.58,-49.58,-49.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,112.00,-45.72,-45.72,-45.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,113.00,-44.78,-44.78,-44.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,114.00,-46.05,-46.05,-46.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,115.00,-50.36,-50.36,-50.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,116.00,-66.18,-66.18,-66.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,117.00,-53.40,-53.40,-53.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,118.00,-47.98,-47.98,-47.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,119.00,-46.63,-46.63,-46.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,120.00,-48.04,-48.04,-48.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
